+1.000000000000001e-1 +5.302407274190782e-1 +4.697586076367947e-1 +9.999993350558729e-1
+2.001249999999918e-1 +5.615007987498023e-1 +4.384979217216390e-1 +9.999987204714413e-1
+3.001249999999808e-1 +5.935255405935860e-1 +4.064726429250248e-1 +9.999981835186108e-1
+4.001249999999698e-1 +6.261305604975873e-1 +3.738672490957006e-1 +9.999978095932879e-1
+5.001249999999589e-1 +6.590580404601527e-1 +3.409396396296945e-1 +9.999976800898472e-1
+6.001249999999922e-1 +6.920273293340498e-1 +3.079704758506093e-1 +9.999978051846591e-1
+7.000000000000256e-1 +7.247033875287401e-1 +2.752947879844184e-1 +9.999981755131585e-1
+8.000000000000590e-1 +7.568684314966803e-1 +2.431303844656771e-1 +9.999988159623573e-1
+9.000000000000924e-1 +7.881809786510598e-1 +2.118187456686693e-1 +9.999997243197292e-1
+1.000000000000126e0 +8.183400691112549e-1 +1.816608186950966e-1 +1.000000887806352e0
+1.100000000000070e0 +8.470465112044530e-1 +1.529558130916061e-1 +1.000002324296059e0
+1.200000000000015e0 +8.740096651585400e-1 +1.259943514672802e-1 +1.000004016625820e0
+1.300124999999959e0 +8.989817945902523e-1 +1.010241476546564e-1 +1.000005942244909e0
+1.400124999999904e0 +9.216404021644894e-1 +7.836768254376436e-2 +1.000008084708254e0
+1.500124999999848e0 +9.417813119084081e-1 +5.822909874918077e-2 +1.000010410657589e0
+1.600124999999793e0 +9.591911602461212e-1 +4.082173385480479e-2 +1.000012894100926e0
+1.700124999999738e0 +9.736814485077357e-1 +2.633404912369656e-2 +1.000015497631432e0
+1.800124999999682e0 +9.850941781713340e-1 +1.492400734077019e-2 +1.000018185512104e0
+1.900124999999627e0 +9.933017934235294e-1 +6.719122502261982e-3 +1.000020915925791e0
+2.000124999999572e0 +9.982088897033680e-1 +1.814715965601929e-3 +1.000023605668970e0
+2.100124999999694e0 +9.997560910055689e-1 +2.701466630744106e-4 +1.000026237668643e0
+2.200124999999816e0 +9.979161210602240e-1 +2.112643931816136e-3 +1.000028764992040e0
+2.300124999999938e0 +9.926964739211405e-1 +7.334428529669237e-3 +1.000030902450810e0
+2.400000000000060e0 +9.841569767575695e-1 +1.587548272430067e-2 +1.000032459481870e0
+2.500000000000183e0 +9.723621302005472e-1 +2.767174329007984e-2 +1.000033873490627e0
+2.600000000000305e0 +9.574698769896453e-1 +4.256598993561308e-2 +1.000035866925258e0
+2.700000000000427e0 +9.397067217106090e-1 +6.033181354830094e-2 +1.000038535258910e0
+2.800000000000549e0 +9.193266302614906e-1 +8.071462479784827e-2 +1.000041255059339e0
+2.900000000000671e0 +8.965681831346851e-1 +1.034753192783544e-1 +1.000043502413039e0
+3.000000000000794e0 +8.716694429433745e-1 +1.283759025030664e-1 +1.000045345446441e0
+3.100000000000916e0 +8.448874253602300e-1 +1.551596172009486e-1 +1.000047042561179e0
+3.200000000001038e0 +8.164896670541211e-1 +1.835589264507420e-1 +1.000048593504863e0
+3.300000000001160e0 +7.867455200701253e-1 +2.133043654411608e-1 +1.000049885511286e0
+3.400000000001282e0 +7.559271153140701e-1 +2.441238012062370e-1 +1.000050916520307e0
+3.500000000001405e0 +7.243065352587411e-1 +2.757451908102643e-1 +1.000051726069005e0
+3.600000000001527e0 +6.921499863119542e-1 +3.079023254602573e-1 +1.000052311772212e0
+3.700000000001649e0 +6.597142942567300e-1 +3.403383800904360e-1 +1.000052674347166e0
+3.800000000001771e0 +6.272433258316531e-1 +3.728095131593882e-1 +1.000052838991041e0
+3.900000000001894e0 +5.949638959213253e-1 +4.050889275115888e-1 +1.000052823432914e0
+4.000000000002015e0 +5.630836026310830e-1 +4.369690348572952e-1 +1.000052637488378e0
+4.100000000001782e0 +5.317899954280594e-1 +4.682623062585766e-1 +1.000052301686636e0
+4.200000000001549e0 +5.012493797720733e-1 +4.988024602545494e-1 +1.000051840026623e0
+4.300000000001316e0 +4.716054855115606e-1 +5.284457833516691e-1 +1.000051268863230e0
+4.400000000001083e0 +4.429787229807988e-1 +5.570718811789176e-1 +1.000050604159716e0
+4.500000000000850e0 +4.154660647352690e-1 +5.845838032060321e-1 +1.000049867941301e0
+4.600000000000617e0 +3.891416045194144e-1 +6.109074774654919e-1 +1.000049081984906e0
+4.700000000000384e0 +3.640580551274926e-1 +6.359902061506744e-1 +1.000048261278167e0
+4.800000000000151e0 +3.402491180448641e-1 +6.597982974943144e-1 +1.000047415539179e0
+4.900124999999917e0 +3.177049561384868e-1 +6.823415961191894e-1 +1.000046552257676e0
+5.000124999999684e0 +2.964860251555821e-1 +7.035596570853593e-1 +1.000045682240941e0
+5.100124999999451e0 +2.765570299486518e-1 +7.234877822390295e-1 +1.000044812187681e0
+5.200124999999218e0 +2.579039281303506e-1 +7.421400203458650e-1 +1.000043948476216e0
+5.300124999998985e0 +2.405076919968862e-1 +7.595354047369117e-1 +1.000043096733798e0
+5.400124999998752e0 +2.243468520065099e-1 +7.756954109348417e-1 +1.000042262941352e0
+5.500124999998519e0 +2.093997499246258e-1 +7.906417043987527e-1 +1.000041454323378e0
+5.600124999998286e0 +1.956463874811595e-1 +8.043942922803721e-1 +1.000040679761532e0
+5.700124999998053e0 +1.830697592958701e-1 +8.169701903470263e-1 +1.000039949642896e0
+5.800124999997820e0 +1.716565760026468e-1 +8.283826990596945e-1 +1.000039275062341e0
+5.900124999997587e0 +1.613973459523615e-1 +8.386413204690872e-1 +1.000038666421449e0
+6.000124999997354e0 +1.522858970300983e-1 +8.477522347370404e-1 +1.000038131767139e0
+6.100124999997121e0 +1.443185400612490e-1 +8.557191354015736e-1 +1.000037675462823e0
+6.200124999996888e0 +1.374931329430680e-1 +8.625441647586031e-1 +1.000037297701671e0
+6.300124999996655e0 +1.318082647388119e-1 +8.682287302198798e-1 +1.000036994958692e0
+6.400124999996422e0 +1.272626722454983e-1 +8.727740888068978e-1 +1.000036761052396e0
+6.500124999996189e0 +1.238548935633462e-1 +8.761816947718959e-1 +1.000036588335242e0
+6.600124999995955e0 +1.215830994364412e-1 +8.784533692213089e-1 +1.000036468657750e0
+6.700124999995722e0 +1.204450277748335e-1 +8.795913661962884e-1 +1.000036393971122e0
+6.800124999995489e0 +1.204379597122705e-1 +8.795983968849171e-1 +1.000036356597188e0
+6.900124999995256e0 +1.215586960144253e-1 +8.784776532524238e-1 +1.000036349266849e0
+7.000124999995023e0 +1.238035093967374e-1 +8.762328556453620e-1 +1.000036365042099e0
+7.100124999994790e0 +1.271680585115565e-1 +8.728683387244759e-1 +1.000036397236032e0
+7.200124999994557e0 +1.316472542947664e-1 +8.683891851654316e-1 +1.000036439460198e0
+7.300124999994324e0 +1.372350713886658e-1 +8.628014145877749e-1 +1.000036485976441e0
+7.400124999994091e0 +1.439242988066733e-1 +8.561122338133216e-1 +1.000036532619995e0
+7.500124999993858e0 +1.517062271533307e-1 +8.483303515367008e-1 +1.000036578690031e0
+7.600124999993625e0 +1.605702771768615e-1 +8.394663531667225e-1 +1.000036630343584e0
+7.700124999993392e0 +1.705035894297643e-1 +8.295331166562190e-1 +1.000036706085983e0
+7.800124999993159e0 +1.814906207165807e-1 +8.185462240048574e-1 +1.000036844721438e0
+7.900124999992926e0 +1.935128313494911e-1 +8.065242839359439e-1 +1.000037115285435e0
+8.000124999992693e0 +2.065485934461693e-1 +7.934890332931964e-1 +1.000037626739366e0
+8.100124999993170e0 +2.205734882893783e-1 +7.794650445260859e-1 +1.000038532815464e0
+8.200124999993648e0 +2.355611599543167e-1 +7.644788658548578e-1 +1.000040025809175e0
+8.300124999994125e0 +2.514848188298100e-1 +7.485574959584252e-1 +1.000042314788235e0
+8.400124999994603e0 +2.683193288981496e-1 +7.317262607896575e-1 +1.000045589687807e0
+8.500124999995080e0 +2.860435968227774e-1 +7.140063826312796e-1 +1.000049979454057e0
+8.600124999995558e0 +3.046427731412664e-1 +6.954127393536507e-1 +1.000055512494917e0
+8.700124999996035e0 +3.241096268334099e-1 +6.759524505123440e-1 +1.000062077345754e0
+8.800124999996513e0 +3.444443536652286e-1 +6.556250106978402e-1 +1.000069364363069e0
+8.900124999996990e0 +3.656519320112369e-1 +6.344248167100738e-1 +1.000076748721311e0
+9.000124999997468e0 +3.877357034737587e-1 +6.123473308873508e-1 +1.000083034361110e0
+9.100124999997945e0 +4.106843325770265e-1 +5.894014996976759e-1 +1.000085832274702e0
+9.200124999998422e0 +4.344433719333821e-1 +5.656363741223955e-1 +1.000079746055778e0
+9.300124999998900e0 +4.588362020646306e-1 +5.412140424689524e-1 +1.000050244533583e0
+9.400124999999377e0 +4.832744405280777e-1 +5.166899909346644e-1 +9.999644314627421e-1
+9.500124999999855e0 +5.061352627391247e-1 +4.938538430019357e-1 +9.999891057410604e-1
+9.600000000000332e0 +5.266745682612827e-1 +4.734971311286107e-1 +1.000171699389893e0
+9.700000000000809e0 +5.467861987650852e-1 +4.534699328054813e-1 +1.000256131570566e0
+9.800000000001287e0 +5.675072277958499e-1 +4.328069842954798e-1 +1.000314212091330e0
+9.900000000001764e0 +5.891086853845657e-1 +4.112078957729375e-1 +1.000316581157503e0
+1.000000000000224e1 +6.116254105605787e-1 +3.886340241638598e-1 +1.000259434724438e0
+1.010000000000272e1 +6.350436795015437e-1 +3.651094612345958e-1 +1.000153140736139e0
+1.020000000000320e1 +6.592615030748284e-1 +3.406868427442968e-1 +9.999483458191253e-1
+1.030000000000367e1 +6.841974373472767e-1 +3.154551674859986e-1 +9.996526048332752e-1
+1.040000000000415e1 +7.102403634697446e-1 +2.893242818081206e-1 +9.995646452778653e-1
+1.050000000000463e1 +7.375860888954435e-1 +2.619448897399318e-1 +9.995309786353753e-1
+1.060000000000511e1 +7.653575789570065e-1 +2.337720344031234e-1 +9.991296133601300e-1
+1.070000000000558e1 +7.904135950475465e-1 +2.076263222702414e-1 +9.980399173177879e-1
+1.080000000000606e1 +8.102276700296593e-1 +1.883716864978014e-1 +9.985993565274608e-1
+1.090000000000654e1 +8.247711266602562e-1 +1.729589205893874e-1 +9.977300472496435e-1
+1.100000000000702e1 +8.356024281408717e-1 +1.637265209129470e-1 +9.993289490538187e-1
+1.110000000000749e1 +8.396513577936706e-1 +1.605137258349147e-1 +1.000165083628585e0
+1.120000000000797e1 +8.373570259765538e-1 +1.623971682278308e-1 +9.997541942043846e-1
+1.130000000000845e1 +8.321555274673322e-1 +1.672782340530123e-1 +9.994337615203446e-1
+1.140000000000893e1 +8.277988759137703e-1 +1.720167031104638e-1 +9.998155790242341e-1
+1.150000000000940e1 +8.234445670475864e-1 +1.760970126746911e-1 +9.995415797222775e-1
+1.160000000000988e1 +8.198367163614299e-1 +1.795253154612237e-1 +9.993620318226535e-1
+1.170000000001036e1 +8.167482512611868e-1 +1.827940731115181e-1 +9.995423243727048e-1
+1.180000000001084e1 +8.129159615647334e-1 +1.866981734995414e-1 +9.996141350642749e-1
+1.190000000001131e1 +8.085018011346788e-1 +1.909602998115219e-1 +9.994621009462008e-1
+1.200000000001179e1 +8.041549099922313e-1 +1.950018837527505e-1 +9.991567937449818e-1
+1.210000000001227e1 +8.008697027638321e-1 +1.985440560379104e-1 +9.994137588017424e-1
+1.220000000001275e1 +7.980413040777576e-1 +2.015314165207765e-1 +9.995727205985341e-1
+1.230000000001322e1 +7.956190468927049e-1 +2.041113834015077e-1 +9.997304302942126e-1
+1.240000000001370e1 +7.930963390217242e-1 +2.069114433055470e-1 +1.000007782327271e0
+1.250000000001418e1 +7.872542725166681e-1 +2.129811642047177e-1 +1.000235436721386e0
+1.260000000001466e1 +7.757439500391514e-1 +2.242638267759522e-1 +1.000007776815104e0
+1.270000000001513e1 +7.635305377180762e-1 +2.364845033003055e-1 +1.000015041018382e0
+1.280000000001561e1 +7.516528617754177e-1 +2.484182265052257e-1 +1.000071088280643e0
+1.290000000001609e1 +7.399848896585650e-1 +2.601212203896577e-1 +1.000106110048223e0
+1.300000000001657e1 +7.276342152426278e-1 +2.725932237283514e-1 +1.000227438970979e0
+1.310000000001704e1 +7.122337925299088e-1 +2.882490204960504e-1 +1.000482813025959e0
+1.320000000001752e1 +6.918429628219439e-1 +3.086308876916901e-1 +1.000473850513634e0
+1.330000000001800e1 +6.696939946551583e-1 +3.307617797802614e-1 +1.000455774435420e0
+1.340000000001848e1 +6.479354779578030e-1 +3.525903525685224e-1 +1.000525830526326e0
+1.350000000001895e1 +6.272060198011583e-1 +3.733322225315037e-1 +1.000538242332662e0
+1.360000000001943e1 +6.078592373365225e-1 +3.925389074335435e-1 +1.000398144770066e0
+1.370000000001991e1 +5.898895884492004e-1 +4.104561028136238e-1 +1.000345691262824e0
+1.380000000002039e1 +5.727975604754749e-1 +4.273038308412681e-1 +1.000101391316743e0
+1.390000000002086e1 +5.568599922098623e-1 +4.430833675164216e-1 +9.999433597262839e-1
+1.400000000002134e1 +5.427805990991688e-1 +4.577865349743907e-1 +1.000567134073560e0
+1.410000000002182e1 +5.289399215565087e-1 +4.714044309996775e-1 +1.000344352556186e0
+1.420000000002230e1 +5.159722180193062e-1 +4.839336016718967e-1 +9.999058196912028e-1
+1.430000000002277e1 +5.059690627274690e-1 +4.941537312030548e-1 +1.000122793930524e0
+1.440000000002325e1 +4.985842682889994e-1 +5.017879855569414e-1 +1.000372253845941e0
+1.450000000002373e1 +4.921163981435269e-1 +5.080642524782255e-1 +1.000180650621752e0
+1.460000000002421e1 +4.868962354911956e-1 +5.131583569393837e-1 +1.000054592430579e0
+1.470000000002468e1 +4.828556290950005e-1 +5.171571589947519e-1 +1.000012788089752e0
+1.480000000002516e1 +4.799426595491757e-1 +5.200750460069008e-1 +1.000017705556076e0
+1.490000000002564e1 +4.782157789780416e-1 +5.219135175017571e-1 +1.000129296479799e0
+1.500000000002612e1 +4.775922621338528e-1 +5.226725307494015e-1 +1.000264792883254e0
+1.510000000002659e1 +4.779077824184368e-1 +5.223487964393548e-1 +1.000256578857792e0
+1.520000000002707e1 +4.792445009199893e-1 +5.209320087390997e-1 +1.000176509659089e0
+1.530000000002755e1 +4.821315847958785e-1 +5.184249731597139e-1 +1.000556557955592e0
+1.540000000002803e1 +4.860188819793100e-1 +5.147941249269402e-1 +1.000813006906250e0
+1.550000000002850e1 +4.906467578114381e-1 +5.099899101025547e-1 +1.000636667913993e0
+1.560000000002898e1 +4.964278015193047e-1 +5.040714438872297e-1 +1.000499245406534e0
+1.570000000002946e1 +5.029476430430138e-1 +4.976939072535475e-1 +1.000641550296561e0
+1.580000000002994e1 +5.073849756266916e-1 +4.931439471938170e-1 +1.000528922820509e0
+1.590000000003041e1 +5.108286015938004e-1 +4.896593098583242e-1 +1.000487911452125e0
+1.600000000003089e1 +5.144173962460632e-1 +4.860899670613958e-1 +1.000507363307459e0
+1.610000000003137e1 +5.184332810800193e-1 +4.820964864969741e-1 +1.000529767576993e0
+1.620000000003185e1 +5.230012418017514e-1 +4.775376630097188e-1 +1.000538904811470e0
+1.630000000003232e1 +5.281843824306079e-1 +4.723277856390752e-1 +1.000512168069683e0
+1.640000000003280e1 +5.339814507674647e-1 +4.664015450775676e-1 +1.000382995845032e0
+1.650000000003328e1 +5.404155079496652e-1 +4.597055589138100e-1 +1.000121066863475e0
+1.660000000003376e1 +5.481091930486097e-1 +4.521903455054299e-1 +1.000299538554040e0
+1.670000000003423e1 +5.565358814310756e-1 +4.438051675553363e-1 +1.000341048986412e0
+1.680000000003471e1 +5.658649882813385e-1 +4.345079406060681e-1 +1.000372928887407e0
+1.690000000003519e1 +5.761396417183400e-1 +4.242594095783818e-1 +1.000399051296722e0
+1.700000000003567e1 +5.873602145527450e-1 +4.130316500248128e-1 +1.000391864577558e0
+1.710000000003614e1 +5.995419668419246e-1 +4.008213218070176e-1 +1.000363288648942e0
+1.720000000003662e1 +6.126386035425662e-1 +3.876882357446647e-1 +1.000326839287231e0
+1.730000000003710e1 +6.263174879272050e-1 +3.739165482299154e-1 +1.000234036157120e0
+1.740000000003758e1 +6.393332806089523e-1 +3.607209684155339e-1 +1.000054249024486e0
+1.750000000003805e1 +6.505260002662725e-1 +3.494890784200956e-1 +1.000015078686368e0
+1.760000000003853e1 +6.603402622439261e-1 +3.394928073594067e-1 +9.998330696033328e-1
